Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Mandi,BS in Chemical Sciences,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),23662,23698
IIT Mandi,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,9968,12562
IIT Mandi,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),20688,22150
IIT Mandi,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1803,3118
IIT Mandi,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6049,6725
IIT Mandi,Data Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3222,3918
IIT Mandi,Data Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7110,9188
IIT Mandi,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4772,6909
IIT Mandi,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),11796,12842
IIT Mandi,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,9089,10475
IIT Mandi,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),19986,20153
IIT Mandi,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,6947,9734
IIT Mandi,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),18047,19060
IIT Delhi,Biotechnology and Biochemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3677,4849
IIT Delhi,Biotechnology and Biochemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),8216,9733
IIT Delhi,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1689,2221
IIT Delhi,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3550,5060
IIT Delhi,Chemical Engineering,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Gender-Neutral,2629,3646
IIT Delhi,Chemical Engineering,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Female-only (including Supernumerary),6656,6847
IIT Delhi,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2666,4169
IIT Delhi,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6862,9424
IIT Delhi,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,27,116
IIT Delhi,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),39,556
IIT Delhi,Computer Science and Engineering,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Gender-Neutral,128,204
IIT Delhi,Computer Science and Engineering,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Female-only (including Supernumerary),958,1061
IIT Delhi,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,382,625
IIT Delhi,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),1411,1826
IIT Delhi,Electrical Engineering (Power and Automation),4,Bachelor of Technology,AI,OPEN,Gender-Neutral,646,810
IIT Delhi,Electrical Engineering (Power and Automation),4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2019,2462
IIT Delhi,Energy Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1898,2707
IIT Delhi,Energy Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),5632,6523
IIT Delhi,Engineering and Computational Mechanics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,890,1194
IIT Delhi,Engineering and Computational Mechanics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2128,3381
IIT Delhi,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1845,2560
IIT Delhi,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4087,7030
IIT Delhi,Materials Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2422,3797
IIT Delhi,Materials Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),8280,9743
IIT Delhi,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,118,332
IIT Delhi,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),824,1240
IIT Delhi,Mathematics and Computing,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Gender-Neutral,339,417
IIT Delhi,Mathematics and Computing,5,Bachelor and Master of Technology (Dual Degree),AI,OPEN,Female-only (including Supernumerary),1433,1644
IIT Delhi,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1225,1782
IIT Delhi,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3748,5487
IIT Delhi,Production and Industrial Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2452,3089
IIT Delhi,Production and Industrial Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7335,9018
IIT Delhi,Textile Technology,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4352,6102
IIT Delhi,Textile Technology,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),9820,12551
IIT Indore,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7109,7913
IIT Indore,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),15679,16378
IIT Indore,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,8296,9773
IIT Indore,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),16460,18217
IIT Indore,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,823,1389
IIT Indore,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3499,4698
IIT Indore,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2359,3818
IIT Indore,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),5167,8297
IIT Indore,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5765,7612
IIT Indore,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),13790,15115
IIT Indore,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1591,2180
